Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,comment,sentiment
0,0,0,contoh ini juga berlaku bt kkuargaku agar tidak berkata yg menyakitkan walaupun hanya bercsnda apa lg sm orang kecil yg hanya cari uang untuk mkn agar tidak meremehkan,netral
1,1,1,orangnya aja keliatan agamais tpi tak pandai beragama ceramah nya bikin orang sadar tapi tak pandai menceramahi diri sendiri,netral
2,2,2,emang gus miftah salah tp karna  si penjual esteh nya aja lebay suruh siapa waktu diceramahin mondar mandir nganggu ketenangan kalo jualan mbok diam dipinggir atau gimana kek yg tanpa mengganggu,netral
3,3,3,kenapa sewaktu ceramah gak sprti ini gusorg psti makin suka dgn gaya seperti ini,netral
4,4,4,ibarat nasi sudah jadi bubur,netral
5,5,5,jayalah netizen  akhirnya bisa berhasil smoga ini awal kemenangan netizen yg ingin ikut serta memperbaiki negara agar semua kalangan segera berbenah diri menjadi lebih baik,netral
6,6,6,stop omon2 stop gus miftah,netral
7,7,7,iya klau gk gitu klau gk ngundurin diri klau gk ada perintah gk bklan ngundurin diri ya gitu merasa brslh   nyataklau ttp jdi jabatan hinaan mlh menjadi2dajal,netral
8,8,8,tuhan maha besar,netral
9,9,9,segera cepat mundur kau  sebelum presiden prabowo marah2,netral
