,Unnamed: 0,comment
0,0,"Contoh ini juga berlaku bt kkuargaku, agar tidak berkata yg menyakitkan walaupun hanya bercsnda, apa lg sm orang kecil yg hanya cari uang untuk mkn, agar tidak meremehkan,"
1,1,Orangnya aja keliatan agamais tpi tak pandai beragama. Ceramah nya bikin orang sadar tapi tak pandai menceramahi diri sendiri🤦‍♂️
2,2,Emang gus miftah salah tp karna  si penjual esteh nya aja lebay ..suruh siapa waktu diceramahin mondar mandir nganggu ketenangan ..kalo jualan mbok diam dipinggir atau gimana kek yg tanpa mengganggu
3,3,"Kenapa sewaktu ceramah gak sprti ini gus..
Org² psti makin suka dgn gaya seperti ini."
4,4,Ibarat nasi sudah jadi bubur
5,5,Jayalah Netizen....  Akhirnya bisa berhasil smoga ini awal kemenangan Netizen yg ingin Ikut serta memperbaiki Negara agar semua kalangan segera berbenah diri menjadi lebih baik.
6,6,Stop omon2. Stop gus miftah.
7,7,"iya klau gk gitu klau gk ngundurin diri ,,klau gk ada perintah ,,,gk bklan ngundurin diri ya gitu merasa brslh   nyata,,,klau ttp jdi jabataN hinaan mlh menjadi2,,,,,,,,,,,,,,dajal"
8,8,TUHAN maha besar.
9,9,"Segera cepat mundur kau...! , sebelum presiden prabowo marah2."
10,10,"BENARKAH MIFTAH  ADA KETURUNAN DARI PONPES TEGALSARI PONOROGO ?

JADI  INGAT KEJADIAN  HARI RAYA TAHUN  LALU KETIKA  REUNI  KELUARGA BERTEMPAT DI SEBUAH MASJID DI BELAKANG  RUMAH KAKEK ALMARHUM

SEJAK KECIL SERING KELUAR MASUK  MASJID TERSEBUT ,  DAN DI DINDING SAMPING KIRI SERAMBI  ADA PAPAN TULIS  YG  MEMAJANG SILSILAH KELUARGA  SI PENDIRI MASJID.

SELAMA INI TIDAK PERNAH TERGODA , DG  TULISAN DI PAPAN TULIS , TAPI HARI RAYA  TAHUN LALU  JADI TERGODA KARENA   KOMEN ANAK  SETELAH MEMBACA  TULISAN DI PAPAN TULIS.

DI SITU  TERTERA SILSILAH KETURUNAN SEBAGIAN  KELUARGA  WALI SONGO , 

YG MENGUSIK HATI  DI BAGIAN  KANAN  PAPAN TULIS  ,AGAK KEBAWAH ADA PESAN  LUAR BIASA

■   ANJURAN AGAR
      KETURUNAN  TRAH
      KELUARGA TERSEBUT 
      TETAP  ISTIQOMAH +
      RENDAH HATI +  ,
      DILARANG  ADIGANG
      ADIGUNG ADIGUNO ,  JIKA
      ADA YANG MELANGGAR
      PESAN TERSEBUT MAKA
      SIFAT TRAH KEWALIANNYA
      AKAN HILANG DG
      SENDIRINYA■
JIKA MIFTAH BETUL ADA DARAH KETURUNAN  TEGALSARI , MUNGKIN  KASUS INI SEBAGAI BENTUK  AKIBAT  SIFATNYA YG TELAH ● MENYIMPANG DARI PESAN
   LELUHURNYA YG SANGAT
    BAGUS●

SEMOGA DG KEJADIAN INI MIFTAH  KEMBALI  KE PESAN LELUHURNYA.

AAMIIN"
11,11,Saya adalah penggemar berat gus miftah. Kalau orang tidak paham dengan pidatonya pasti menyoroti jelek. Kalau saya sdh lebih 1 tahun mengikuti pidatonya gus miftah kalau saya tdk kaget dg isi pidatonya.
12,12,bagus lh. dari pada di pecat cara tidak hormat. bagus lh klw sadar diri.
13,13,"Alhamdulillah, itu baru org yg tau Agama langsung minta maaf dan menyadari kesalahan itu tdk mudah tapi krn Agama mengajarkan demikian dan Gus Miftah jlnkan  itu gentlemen  dan ini mkn jln. Allah utk memberi contoh  dan sbg contoh awal bagi pejabat2 lainnya bila ada hal2 yg tdk pantas hrs berani mundur dan berani gentleman."
14,14,Gus2
15,15,"22:47 saat ia menelan ludah, teringat saat Pak Son menelan ludah setelah dicela"
16,16,Pendakwah kog lambe ne bejat..  pengunduran diri ambek nangis keno opo.. ? Ora usa nangis
17,17,"iya mending begitu mundur aja, tak layak seorang pendakwah berprilaku seperti hal hal yg terlihat atau pun yg tidak terlihat.karna ini ada di dlm kalangan publik."
18,18,Mendingan AA.gim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik
19,19,Mendingan AA.gim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik
20,20,Bangga jadi stap persiden langsung naek dadanya  setinggi langit  masya allah  amit amit
21,21,Permintaan masyarakat lah  harus mundur kalo pengen ga hancur agama islam
22,22,Ga perlu meninggalkan pesan rakyat kecil sudah ga mao denger kembali  kesalahan seorang pendakwa   ga semudah itu  memaafkan nya  jadi dukun aja dah munkin lebih baik   ga mampuh enteh mengikuti aturan nabih  muhamad saw
23,23,Yg ber ilmu tinggi belum tentu ber aklak muliaa
24,24,Bukan mundur disuruh mundur ga pantes seorang pendakwa seperti itu   itu omongan dukun bukan bahasa ulama  pendapat rakyat juga  harus mundur
25,25,"Gus S3TAN... Bnyk tokoh yg hadir PD kejadian . Ada KH. , ad Habib... Mreka smw ketawa mrendhkan pnjual es teh... Mreka menjual agama... Lbih trhormat penjual es teh tsb yg berusaha dgn tenaga dn kringt untk nafkah kluarga,  ltimbang Gus busuk.. KH busuk,, Habib busuk yg hadir dn ikut tertawa menghina penjual es teh."
26,26,Baca tes. Anak SD pun bisa.
27,27,Kalau sudah biasa mulut kotor kasar dalam berdakwah langsung tak ada manfaat langsung dalam berdakwah
28,28,"Gus miftah  klu ada pengajian lagi aku mau jual  es degan muter muter  di daerah  situ... 
 Tolong aku di ejek dan direndah rendahkan  .. 
Biyar bisa berangkat umroh.bayak uang kan bayak orang iba.. 

 Jual minuman  membawa  berkah."
29,29,Kenapa harus menangis Gus...
30,30,Yang jelas masyarakat banyak yg nuntut mundur
