,Unnamed: 0.1,Unnamed: 0,comment
0,0,0,contoh ini juga berlaku bt kkuargaku agar tidak berkata yg menyakitkan walaupun hanya bercsnda apa lg sm orang kecil yg hanya cari uang untuk mkn agar tidak meremehkan
1,1,1,orangnya aja keliatan agamais tpi tak pandai beragama ceramah nya bikin orang sadar tapi tak pandai menceramahi diri sendiri
2,2,2,emang gus miftah salah tp karna  si penjual esteh nya aja lebay suruh siapa waktu diceramahin mondar mandir nganggu ketenangan kalo jualan mbok diam dipinggir atau gimana kek yg tanpa mengganggu
3,3,3,kenapa sewaktu ceramah gak sprti ini gusorg psti makin suka dgn gaya seperti ini
4,4,4,ibarat nasi sudah jadi bubur
5,5,5,jayalah netizen  akhirnya bisa berhasil smoga ini awal kemenangan netizen yg ingin ikut serta memperbaiki negara agar semua kalangan segera berbenah diri menjadi lebih baik
6,6,6,stop omon2 stop gus miftah
7,7,7,iya klau gk gitu klau gk ngundurin diri klau gk ada perintah gk bklan ngundurin diri ya gitu merasa brslh   nyataklau ttp jdi jabatan hinaan mlh menjadi2dajal
8,8,8,tuhan maha besar
9,9,9,segera cepat mundur kau  sebelum presiden prabowo marah2
10,10,10,benarkah miftah  ada keturunan dari ponpes tegalsari ponorogo jadi  ingat kejadian  hari raya tahun  lalu ketika  reuni  keluarga bertempat di sebuah masjid di belakang  rumah kakek almarhumsejak kecil sering keluar masuk  masjid tersebut   dan di dinding samping kiri serambi  ada papan tulis  yg  memajang silsilah keluarga  si pendiri masjidselama ini tidak pernah tergoda  dg  tulisan di papan tulis  tapi hari raya  tahun lalu  jadi tergoda karena   komen anak  setelah membaca  tulisan di papan tulisdi situ  tertera silsilah keturunan sebagian  keluarga  wali songo  yg mengusik hati  di bagian  kanan  papan tulis  agak kebawah ada pesan  luar biasa   anjuran agar      keturunan  trah      keluarga tersebut       tetap  istiqomah       rendah hati         dilarang  adigang      adigung adiguno   jika      ada yang melanggar      pesan tersebut maka      sifat trah kewaliannya      akan hilang dg      sendirinyajika miftah betul ada darah keturunan  tegalsari  mungkin  kasus ini sebagai bentuk  akibat  sifatnya yg telah  menyimpang dari pesan   leluhurnya yg sangat    bagussemoga dg kejadian ini miftah  kembali  ke pesan leluhurnyaaamiin
11,11,11,saya adalah penggemar berat gus miftah kalau orang tidak paham dengan pidatonya pasti menyoroti jelek kalau saya sdh lebih 1 tahun mengikuti pidatonya gus miftah kalau saya tdk kaget dg isi pidatonya
12,12,12,bagus lh dari pada di pecat cara tidak hormat bagus lh klw sadar diri
13,13,13,alhamdulillah itu baru org yg tau agama langsung minta maaf dan menyadari kesalahan itu tdk mudah tapi krn agama mengajarkan demikian dan gus miftah jlnkan  itu gentlemen  dan ini mkn jln allah utk memberi contoh  dan sbg contoh awal bagi pejabat2 lainnya bila ada hal2 yg tdk pantas hrs berani mundur dan berani gentleman
14,14,14,gus2
15,15,15,2247 saat ia menelan ludah teringat saat pak son menelan ludah setelah dicela
16,16,16,pendakwah kog lambe ne bejat  pengunduran diri ambek nangis keno opo  ora usa nangis
17,17,17,iya mending begitu mundur aja tak layak seorang pendakwah berprilaku seperti hal hal yg terlihat atau pun yg tidak terlihatkarna ini ada di dlm kalangan publik
18,18,18,mendingan aagim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik
19,19,19,mendingan aagim tuh bisa mempertimbangkan bicaranya mana yng baik mana yng ga baik
20,20,20,bangga jadi stap persiden langsung naek dadanya  setinggi langit  masya allah  amit amit
21,21,21,permintaan masyarakat lah  harus mundur kalo pengen ga hancur agama islam
22,22,22,ga perlu meninggalkan pesan rakyat kecil sudah ga mao denger kembali  kesalahan seorang pendakwa   ga semudah itu  memaafkan nya  jadi dukun aja dah munkin lebih baik   ga mampuh enteh mengikuti aturan nabih  muhamad saw
23,23,23,yg ber ilmu tinggi belum tentu ber aklak muliaa
24,24,24,bukan mundur disuruh mundur ga pantes seorang pendakwa seperti itu   itu omongan dukun bukan bahasa ulama  pendapat rakyat juga  harus mundur
25,25,25,gus s3tan bnyk tokoh yg hadir pd kejadian  ada kh  ad habib mreka smw ketawa mrendhkan pnjual es teh mreka menjual agama lbih trhormat penjual es teh tsb yg berusaha dgn tenaga dn kringt untk nafkah kluarga  ltimbang gus busuk kh busuk habib busuk yg hadir dn ikut tertawa menghina penjual es teh
26,26,26,baca tes anak sd pun bisa
27,27,27,kalau sudah biasa mulut kotor kasar dalam berdakwah langsung tak ada manfaat langsung dalam berdakwah
28,28,28,gus miftah  klu ada pengajian lagi aku mau jual  es degan muter muter  di daerah  situ  tolong aku di ejek dan direndah rendahkan   biyar bisa berangkat umrohbayak uang kan bayak orang iba  jual minuman  membawa  berkah
29,29,29,kenapa harus menangis gus
30,30,30,yang jelas masyarakat banyak yg nuntut mundur
31,31,31,panjang ranbutnya kaya macam teror penampilan nya
32,32,32,mulut mu harimau mu ini lah pepatah yg pas untuk mu qus miftah
33,33,33,semoga ke depannya gus miftah bisa menjaga sikapnya agar tidak menjadi contoh buruk bugi umat seperti contoh kelakuan gus fiftah terhadap istrinya meskipun itu hy guyonan kata miftahnamun tak patut itu di lakukan di depan umum alangkah malunya istri gus miftah keliatan dr gestur tubuhnya ketika itu
34,34,34,yahlebih baik mundur dari pd merem bet kemana mana
35,35,35,begitulah klo dakwah nya campur ketoprak 
36,36,36,menurut aku netizen terlalu cepat menilai d mengambil keputusanjgn menghujatklu begitu suruh habib itu kembali kenegaranyasemua org khilaf seharusnya kita ambil hikmahnya
37,37,37,maaf sebenarnya banyak kebaikan dr gusmanusia tak ada yg sempurna ini merupakan teguran dari alloh agar gus lebih berhati2 dlm ucapan maupun prilaku kembali ke adat ketimuran
38,38,38,sebaiknya dakwah agama itu seharusnya jadi suri tauladan para ulama baik ucapanmaupun tingkah menjadi contoh orang banyak
39,39,39,plajaran buat smua klau suka bercanda jgn sampai brlebihan  brsikaplah yg dewasa n pandai mengendalikan diri
40,40,40,knapa kamu nangis berat meninggalkan duniawi kamutakut  gak d percaya rakyat indonesia ykapoooookkkk
41,41,41,bener lebih baik mundur kamu miftajgan mundur dari utusan negara aja kamu mundur jga sebagai ustadbelajar dulu aja kamu
42,42,42,sebenarnya dr ucapan gus miftah membawa berkah buat pak suhaji allah turunkan rizky yg berlimpahberkat ucapan gus miftah menjadi ky mendadakseharusnya berterima kasih jg sm gus miftahcb kl bukan ke khilaf an gus miftah mungkin pak suhaji ga seperti sekarang iniintinys kita tidak boleh saling menhujat siapapun karena manusia tidak ada yg sempurnakesempurnaan hanya milik allah sematasemangat gus
43,43,43,alhamdulillah
44,44,44,semogadengan kemunduran diri gus mifta dan mengakui kesalahannya allah swt akan memberikan kemuliaan dan kemudahan dlm segala hal sifat mengakui kesalahann  adalah sifat kesatria
45,45,45,waduhmau mundur aja kok pakai dalilya mundur ajapakai nangis pulakok dagelangus
46,46,46,bagus deh gk cocok jd staf presiden krn nyontohin ahlak dan adab yg jellek
47,47,47,makanya jadi panutan tuh harus arip dan bijaksana jaga tuh mulut udah di panggil ustadz apalah lebih baik diam dengan diam jadi emas
48,48,48,masya allahgantinya mungkin gus muwafiq atau kimad
49,49,49,efek asal comotwarga 62 ga didoktrin tuk becanda positif dan nyenengin tapi dibiarkan liar nyebelin
50,50,50,setiap manusia memang tak ada sapa yg sempurna kalau fikir logik saya hairan sekali padahal fikiran org betulx2 waras boleh memikirkan yg terbaik sebelum terlepas bagi katax2 yg tidak sesuai terhadap org lain akhirnya kenapa boleh tibax2 jadi perbuatan yg sebegini sedangkn org yg sudah banyak memperlajari mendalami ilmu agama setahu saya dia boleh menjadi contoh dan tauladan untuk membawa org jalan ke arah yg lebih baik tapi mengapa tibax2 ada d sebaliknya boleh pula lepaskan katax2 sebergitu rupa yg boleh menyinggung hati dan perasaan sama org lain kalau perbuatan kita mungkin boleh kita undur memperlajari diri utk jadi manusia yg baik kalau kita sudah buat garax2 melepaskan katax2 yg sudah menguris hati dan perasaan org lain kemungkinan itu susah mahu d undurkan sebab bukan mudah org memaafkan katax2 kita yg sudah d lepaskan pada org lain risau org lain tidak boleh memaafkan katax2 kita jadi bila esok kalau kita sudah meninggal masuk d dalam kubur esok jadi susah tu lain kali kita sebelum berkata sesuatu kena hatix2 selagi org tidak akan memaafkan kita selagi tu lah kita tanggung
51,51,51,saya yakin beliau termasuk orang yg bertanggung jawab dibalik semuay kita tarik kesimpulan beliu untung  penjual es untung kita semuapun untung kalau kita pandai memandang kebaikanya
52,52,52,bagus luh mundur ngerusak wibawa presiden baru dilantik 
53,53,53,jokowi kaget utang piutang dan bunga naik di era prabowo menjadi 20 atau 20 juta rakyat nkri di bantai akibat jatuh tempotak ada ampunan
54,54,54,jika allah berkehendak lainmk berprinsiplah dlm hidupajining diri soko lathiajining rogo soko busonosmg setelah ini gus miftah bisa ambil hikmahnya
55,55,55,mungkin itu sifat aslinya ya
56,56,56,hahahaaaa  s miftah gk pantas d jadikan panutanmundurlah anada scara hina
57,57,57,hati2 para pendawah jangan sampai kesalahan terulang lagi seperti yang sudah sudah suri tauladan itu penting sekali
58,58,58,gus mita  ini merupakan tegoran dari allah agar ada perbaikan cara penyampaikan tutur kata nya tidak semua orang mau dibilang begitu tapi disisi lain allah memberi  atau mengangkat derajat nya tukang es pelajaran buat kita semua tidak ada kesombongan dalam hidup derajat pangkat harus berbuat arif
59,59,59,beliau mengundurkan diri tdk egois salut tuk gus miftahitulah orang yg jenteltdl semata mata jabatantanggung jawab seorang gus miftah
60,60,60,orang yg baik orang yg mengakakui kesalahanya  mau memperbaikinya
61,61,61,salut dgn gus mifrah mau mengundurkan diri berarti tdk gila jabatan selanjutnya bagai mana dgn fufufafa dn lainnya     yg terlibat korupsi dn terlibat judol apa msh tetap bertahan dn tdk punya perasaan
62,62,62,dlm agama sangat di larang menghina orgapalagi ustazd tau itutp di lakukan jgitulah kbsaran allah menghina mka kita akan terhindar baik buruknya kelakuan kita smua di kembalikan untuk kita
63,63,63,ini orang ngak pantas jadi orang penting dalam barisan bapak presidenini orang harus di pecat
64,64,64,sungguh sangat bijaksana sekali hati gus miftahsemoga engkau dipanjangkan umurmu gus
65,65,65,bukan hanya menjatuh kan harga diri bpk prabowo menjatuhkan harga diri dan memalukan keluarga nya sendiri mulut mu harimau mu jaga lisan jaga sikap seorang pendakwa masyarakat kejadian gus miftah ini sangat penting buat amin rais bila bersalah akui lah kesalahan itu allah maha pemaaf dan penyayang
66,66,66,mundur ucapan dgn menangis itu asli nya berat untuk mundur karna jabatan dri presden hhhhh  lucu  jngan cok pintr sendir klo suda di panggil gos  kok se enaknya bicara menghina kpd orang kecill dosa
67,67,67,semua kejadian ini kita ambil hikmahnya yang terbaik semoga gus mifta tetap sehat semangat panjang umur murah rezekinya dan selalu ada dalam lindungan allah subhanahu wa taala tidak ada manusia yang tidak salah gusmitah sendiri udah sangat gentlemen mengakui kesalahannya dan dia meminta maaf kepada seluruh rakyat indonesia yang merasa dikecewakan semoga kedepannya gus miftah lebih memperbaiki ucapan lagi dan semoga tidak terulang kembali dengan kesalahan yang sama tetap semangat dan teruslah berdakwah utk kaum yang lemah ilmunya
68,68,68,455
69,69,69,miftah itu bukan dawah  tapi guyon thokkk
70,70,70,mifta   sendiri  malu  dgn bicara  nya yg selalu tdk sopan selama dakwa di mana saja ber ada  tdk pantas di lihat di dngar orang gila la seneng melihat ceramah  mifta kenapa nangis aslinya berat kecewa
71,71,71,
72,72,72,bukan hasil istikorohtp tau tau diri 
73,73,73,biyuhpembina keagamaan ternyata 
74,74,74,biyuh kok iso nngis abot pora melepas pora jabatan kui suk meneh ngati ucapane kuii
75,75,75,nanti sudah viral baru banyak cerita
76,76,76,padahal yang sebenarnya dia di pecat tapi diminta menyampaikan mengundurkan diri agar kelihatan lebih baik 
